name,address,latitude,longitude,hours,website,phone,nearestSpot,nearestSpotCounty
K.C.R. House,"326, Kimmage Road Lower, Dublin",53.314197,-6.296438,Check local listings,,+35314902530,Kimmage,
The Old County,"125, Old County Road, Dublin",53.327394,-6.306002,Check local listings,,,Crumlin,
The Square Ball,"45, Hogan Place",53.340843,-6.244782,Check local listings,https://the-square-ball.com/,+353 1 662 4473,Charlotte Quay Dock,
The Strand House,"172, North Strand Road, Dublin",53.355003,-6.246017,Check local listings,,,Dublin,
Mullet’s,"45, Amiens Street, Dublin",53.352579,-6.249301,Check local listings,,,Dublin,
The Hideout,Newtown Village,53.394698,-6.758896,Check local listings,,,Tirmoghan,
Millenium Bar,,52.478017,-6.635212,Check local listings,,,Davidstown,
Sean S Mac Feargail,Main Street,54.052179,-7.803707,Check local listings,,,Ballinamore,
An Scolaire Bocht,Main Street,54.052265,-7.803286,Check local listings,,,Ballinamore,
The Lakeland Bar,Main Street,54.0521,-7.803169,Check local listings,,,Ballinamore,
Byrne’s,"Bridge Street, Castlebar",53.857342,-9.297591,Check local listings,,,Castlebar,
Coady’s,"Linenhall Street, Castlebar",53.858252,-9.297934,Check local listings,,,Castlebar,
Johnny McHale’s,"Davitts Terrace, Castlebar",53.860236,-9.298089,Check local listings,,,Castlebar,
Rocky’s,"Tucker Street, Castlebar",53.858332,-9.298719,Check local listings,,,Castlebar,
Rusty Nail,,55.275237,-7.451959,Check local listings,,,Clonmany,
Blackbanks Bar & Grill,"Greendale Road, Kilbarrack",53.385975,-6.155508,Check local listings,https://blackbanks.ie/,,Kilbarrack,Dublin
Sexton’s,"91, Henry Street, Limerick",52.658859,-8.633842,Check local listings,,,Limerick,
Diamond Bar,,51.821658,-8.855638,Check local listings,,,Béal na Bláth,Cork
O'Mahonys,,51.780757,-8.867259,Check local listings,,,Newcestown,Cork
Albert Lynch's,"17, William O'Brien Street",52.137801,-8.642127,Check local listings,http://www.albertlynchs.com/,,Mallow,Cork
Marakibo,"26, Davis Street, Mallow",52.137579,-8.64654,Check local listings,,,Mallow,Cork
O’Keeffe’s,"127, Davis Street, Mallow",52.136629,-8.643717,Check local listings,,,Mallow,Cork
The Halfway Bar,,52.254781,-9.578834,Check local listings,,,Ballynabrennagh Lower,
Delaney,,53.761508,-8.762684,Check local listings,,,Ballyhaunis,
The Enniskerry Inn,"Church Hill, Enniskerry",53.19245,-6.169977,Check local listings,,,Enniskerry,
The Valley House,,54.012836,-9.969621,Check local listings,,,Tóin an tSeanbhaile,
Ray O'Mahonys,"Emmet Row, Bandon",51.747145,-8.738943,Check local listings,,,Bandon,Cork
Fiddlers,"Convent Hill, Bandon",51.749286,-8.740544,Check local listings,,,Bandon,Cork
The Castle Bar,"2, Castle Road, Bandon",51.743829,-8.740699,Check local listings,,,Bandon,Cork
The Stables,"Oliver Plunkett Street, Bandon",51.745507,-8.734657,Check local listings,,,Bandon,Cork
Bradys,"Oliver Plunkett Street, Bandon",51.745349,-8.733907,Check local listings,,,Bandon,Cork
Chaplin's,"Kilbrogan Hill, Bandon",51.749114,-8.739993,Check local listings,,,Bandon,Cork
Millars Pub,,53.347527,-8.089441,Check local listings,,,Cloonbeggaun,
The Birch Grove,,53.328362,-8.16726,Check local listings,,,Creagh,
The Black Pig,,53.328735,-8.225087,Check local listings,,,Ballinasloe,Galway
The Snug,"Stephen Street car park, Sligo",54.27195,-8.473291,Check local listings,,,Sligo,
Shannon Bar,,52.586917,-9.364352,Check local listings,,,Tarbert,Kerry
Brosnan's,,52.501762,-9.370729,Check local listings,,,Moyvane,Kerry
Crockets on the Quay,,54.13169,-9.13728,Check local listings,http://www.crocketsonthequay.ie,,Quay Village,
James Griffin,"High Street, Trim",53.557485,-6.788599,Check local listings,http://jamesgriffinpub.ie/,,Trim,Meath
O'Rafferty,,52.763419,-6.238627,Check local listings,,,Coolgreany,
The Central Bar,"The Square, Roscommon",53.631388,-8.190346,Check local listings,,,Roscommon,
The Red Parrot,"The Square, Roscommon",53.63115,-8.190239,Check local listings,,,Roscommon,
The Holly Tree,"Convent Road, Roscommon",53.627012,-8.194879,Check local listings,,,Roscommon,
Charlie’s Bar,"Church Street, Roscommon",53.629257,-8.191784,Check local listings,,,Roscommon,
The Rooster,"Church Street, Roscommon",53.62928,-8.191917,Check local listings,,,Roscommon,
J. S. Murray,,53.576051,-8.09526,Check local listings,,,Knockcroghery,
The Widow Pat's,,53.575874,-8.094914,Check local listings,,,Knockcroghery,
Regan’s Bar,"The Square, Roscommon",53.631223,-8.191132,Check local listings,,,Roscommon,
James J. Harlow,"The Square, Roscommon",53.631068,-8.190236,Check local listings,,,Roscommon,
Fox’s Bar,"Athlone Road, Roscommon",53.629007,-8.188448,Check local listings,,,Roscommon,
Larry’s,"Goff Street, Roscommon",53.628926,-8.18934,Check local listings,,,Roscommon,
Down The Hatch,"Church Street, Roscommon",53.629353,-8.190421,Check local listings,,,Roscommon,
Cellar Bar,Dublin,53.338756,-6.252609,Check local listings,https://www.merrionhotel.com/dine/the-cellar-bar/,,Charlotte Quay Dock,
Kazbar,"57, John Street, Waterford",52.25803,-7.111597,Check local listings,https://kazbarwaterford.ie/,+353 51 843 730,Waterford,
Geoff's,"7-9, John Street, Waterford",52.258122,-7.111835,Mo-Th 12:00-23:30; Fr-Sa 12:00-00:30; Su 12:00-23:30,,+35351874787,Waterford,
The Hub,"27, Michael Street, Waterford",52.258495,-7.111716,Check local listings,,,Waterford,
Gaffney's,,53.611734,-7.092769,Check local listings,,,Delvin,Westmeath
O'Shaughnessy's,,53.612037,-7.092361,Check local listings,,,Delvin,Westmeath
The Woodman,"43, John Street, Waterford",52.257087,-7.111159,Check local listings,,+35351854727,Waterford,
The Thirsty Scholar,"38-39, John Street, Waterford",52.25687,-7.110987,Mo-Fr 15:00-01:00; Sa-Su 12:00-01:00,,+353 87 742 5840,Waterford,
Cumiskey’s,"41, Dominick Street Upper, Dublin",53.354342,-6.272006,Mo-Sa 12:00-23:30; Su 12:30-23:00,,,Grangegorman,
The Berkeley,,53.356157,-6.267843,Check local listings,,,Phibsborough,Dublin
Quinn’s Pub,,52.132652,-10.359192,Check local listings,,+353 87 799 1828,Ceann Trá,Kerry
Baker’s Bar,"17, Parnell Street, Clonmel",52.35355,-7.698285,Check local listings,,,Kickham Barracks Strategic Development Zone,
The Greyhound Bar,,53.613149,-7.091031,Check local listings,,,Delvin,Westmeath
Moran's Bar,Grange,54.391697,-8.526567,Check local listings,,,Grange,
The Pikeman’s Inn,"31, Denny Street, Tralee",52.269016,-9.704887,Check local listings,,,Tralee,Kerry
Harry's,,54.305662,-8.556797,Check local listings,,,Rosses Point,
Guiry's,,53.980987,-9.114545,Check local listings,,,Foxford,
