name,name_ga,county,lat,lon,type
Milltown,,,53.6150022,-8.9009149,village
Lattin,,Tipperary,52.466944,-8.275278,hamlet
Kildimo,Cill Díoma,Limerick,52.623333,-8.812222,village
Stepaside,An Céime,Dublin,53.2531104,-6.2143744,village
Newbridge,,Limerick,52.553611,-8.991389,hamlet
Dalkey,Deilginis,Dublin,53.2782812,-6.1074381,village
Rhode,Ród,,53.3495675,-7.1990013,village
Rathkeale,Ráth Caola,Limerick,52.5236119,-8.9377374,town
Tullaghan,An Tulachán,,54.4690469,-8.3294319,village
Ceathrú Thaidhg,Ceathrú Thaidhg,,54.312222,-9.812778,village
Castlerichard,,Waterford,52.1306434,-7.9848872,hamlet
Enfield,An Bóthar Buí,Meath,53.4141315,-6.8290575,town
Anagaire,Anagaire,Donegal,55.0216691,-8.3178413,village
Broadway,Gráinseach Iúir,Wexford,52.2199395,-6.3883138,village
Collinstown,Baile na gCailleach,,53.6471001,-7.2120269,village
Monkstown,Baile na Manach,Dublin,53.2936454,-6.1539023,suburb
Lios Póil,Lios Póil,Kerry,52.1425,-10.160278,village
Spaville,,Waterford,52.3501594,-7.6871115,hamlet
Na Dúnaibh,Na Dúnaibh,Donegal,55.1948985,-7.8351051,village
Borrisokane,Buiríos Uí Chéin,Tipperary,52.9951117,-8.1274832,town
Kinlough,Cionn Locha,,54.4477324,-8.2854402,village
Ballitore,Béal Átha an Tuair,,53.0093927,-6.815586,village
Killinkere,,,53.885501,-7.0632286,village
Shanagarry,An Seangharraí,Cork,51.8518462,-8.0362432,village
Glenbeigh,Gleann Beithe,,52.0560543,-9.9394238,village
Neale,,,53.5687508,-9.2339405,village
Cloneen,,Tipperary,52.475556,-7.595833,village
Suncroft,Crochta na Gréine,,53.1075001,-6.8618418,village
Rathdowney,Ráth Domhnaigh,Laois,52.855426,-7.5838016,town
Johnstown,Baile Eoin,,53.2365208,-6.6234082,village
The Swan,,Laois,52.8861003,-7.1562448,village
Crusheen,Croisín,,52.9384764,-8.8984123,village
Dripsey,,Cork,51.9149422,-8.7419911,village
Baltray,Baile Trá,Louth,53.7372378,-6.2671964,village
Nobber,An Obair,,53.8217308,-6.747929,village
Ballyhaunis,Béal Átha hAmhnais,,53.7633588,-8.7651532,town
Clough,An Chloch,Wexford,52.6423975,-6.3434483,village
Lemanaghan,,Offaly,53.2939993,-7.7455133,hamlet
Castlewarren,,Kilkenny,52.693491,-7.1075858,village
Ballindaggan,,Wexford,52.5685521,-6.6813479,village
Ros Cíde,Ros Cíde,Galway,53.3396755,-9.6549436,hamlet
Tír an Fhia,Tír an Fhia,Galway,53.2705439,-9.6627204,village
Castlemartyr,Baile na Martra,Cork,51.9122172,-8.054502,village
Banagher,Beannchar,Offaly,53.1898776,-7.9868525,town
Kilcrohane,Cill Chrócháin,,51.5810541,-9.7031892,village
Moate,An Móta,Westmeath,53.3962015,-7.7240549,town
Lismulleyduff,,Donegal,54.7502384,-7.7366901,hamlet
An Mhuiríoch,An Mhuiríoch,Kerry,52.1857337,-10.3625372,village
An Geata Mór,An Geata Mór,,54.203889,-10.036111,village
Grange,,Tipperary,52.6574895,-7.5469121,hamlet
Golden,An Gabhailín,,52.4982989,-7.9808842,village
Croithlí,Croithlí,Donegal,55.025,-8.260833,village
Araglin,Airglinn,Cork,52.2076019,-8.1066353,village
Delgany,Deilgne,Wicklow,53.1326345,-6.0922262,village
Moyvalley,Maigh Bhealaigh,,53.4298379,-6.9199634,village
Ballyconnell,Béal Átha Conaill,,54.116667,-7.583333,town
Ballycotton,Baile Choitín,Cork,51.8304762,-8.0132232,village
Kilgarvan,Cill Garbháin,,51.9037232,-9.4398829,village
Moyvore,,,53.5347279,-7.6312614,village
Ballycumber,Béal Átha Chomair,,53.3266439,-7.6844646,village
Shercock,Searcóg,Cavan,53.9951052,-6.8982056,village
Islandeady,,,53.8263524,-9.4026307,village
Camolin,Cam Eolaing,,52.6166981,-6.4242938,village
Foulksmills,,,52.3135368,-6.7490959,village
Stonyford,Áth Stúin,,52.5362671,-7.2278963,village
Ballybeg,,,54.3178489,-8.5473339,hamlet
Coachford,Áth an Chóiste,,51.9093226,-8.7881095,village
Killyon,,Offaly,53.1022185,-7.8029046,village
Trim,Baile Átha Troim,Meath,53.5556053,-6.7913717,town
Ballyhahill,,,52.5597181,-9.1900744,village
Clongeen,,,52.2983532,-6.7679782,village
Askeaton,Eas Géitine,Limerick,52.599722,-8.975556,town
Port Durlainne,Port Durlainne,,54.314722,-9.716667,hamlet
Newtown,,Laois,52.8630155,-7.1113079,village
Ballingarry,Baile an Gharraí,,52.4737994,-8.863349,village
Garryspillane,Garraí Uí Spealáin,Limerick,52.4127781,-8.379444,village
Coill Sáile,Coill Sáile,Galway,53.3511037,-9.7101588,hamlet
Watergrasshill,Cnocán na Biolraí,Cork,52.0115606,-8.3436011,town
Kilcolman,,Limerick,52.530499,-9.0829839,hamlet
Ferbane,An Féar Bán,,53.2715862,-7.8277732,town
Kilmoyly,,Kerry,52.3745534,-9.7704493,hamlet
Stuake,,Cork,51.9919143,-8.7564762,village
Mountshannon,Baile Uí Bheoláin,Clare,52.9314122,-8.4273297,village
Ballinasloe,Béal Átha na Sluaighe,Galway,53.3302722,-8.221376,town
Dromore West,An Droim Mór Thiar,,54.2491446,-8.8752953,village
Narraghmore,An Fhorrach Mhór,,53.0490506,-6.83072,village
Clonygowan,Cluain na nGamhan,Offaly,53.1873907,-7.280685,village
Camaross,Camross,Wexford,52.3624409,-6.702105,village
Cornafean,,,53.9471107,-7.4859732,village
Louth,Lú,,53.9508294,-6.5403319,village
Delvin,Dealbhna,Westmeath,53.6119879,-7.0922919,town
Clonlara,Cluain Lára,Clare,52.722222,-8.553889,village
Arvagh,Ármhach,,53.9241087,-7.5828683,village
Newmarket,,Kilkenny,52.470827,-7.2633291,village
Oilgate,Maolán na nGabhar,,52.423774,-6.5306667,village
Partry,,,53.7000024,-9.2833406,village
Bun an Churraigh,,,53.975,-9.975,village
Dunnamaggan,,Kilkenny,52.5024363,-7.2987581,village
Causeway,An Tóchar,Kerry,52.4142688,-9.7326736,hamlet
Clifden,An Clochán,,53.4884916,-10.0210673,town
Annamoe,Áth na mBó,Wicklow,53.0315971,-6.255256,hamlet
Castleblakeney,Gallach,,53.4295506,-8.4755461,village
Ballyconneely,Baile Conaola,Galway,53.4314905,-10.0747505,village
Shinrone,Suí an Róin,,52.984232,-7.9246821,village
Turloughmore,,Galway,53.3766239,-8.8704482,hamlet
Kilmacow,Cill Mhic Bhúith,Kilkenny,52.3161336,-7.1773747,village
Ballynonty,,,52.5901861,-7.6666744,village
Pollagh,Pollach,,53.2778609,-7.71047,village
Rosscarbery,Ros Ó gCairbre,,51.5775144,-9.0329284,village
Kildavin,Cill Damháin,,52.68384,-6.6853541,village
Bartlemy,Tobar Pártnáin,Cork,52.0489103,-8.2648513,village
Gob an Choire,Gob an Choire,,53.9296352,-9.9274511,village
Ballycrossaun,,,53.1508286,-8.190127,hamlet
Ramsgrange,,Wexford,52.2451176,-6.9196647,village
Killimer,Cill Íomaí,,52.6172284,-9.3817629,hamlet
Ballymore,,Kerry,52.1232931,-10.3257485,hamlet
Togher,An Tóchar,Cork,51.8767758,-8.4939627,suburb
Ballycahill,,Tipperary,52.6882509,-7.9075951,hamlet
Kerrykeel,An Cheathrú Chaol,,55.1373255,-7.6663937,village
Foxrock,Carraig an tSionnalgh,Dublin,53.266813,-6.1838379,suburb
Millstreet,Sráid an Mhuilinn,Cork,52.060231,-9.0640113,town
Ardee,Baile Átha Fhirdhia,Louth,53.8553092,-6.5389138,town
Clarecastle,Droíchead an Chláir,Clare,52.8155649,-8.9664844,village
Chapeltown,An Caol,Kerry,51.9071681,-10.3360662,village
Newtown Forbes,An Lios Breac,,53.7667448,-7.8348458,town
Ballinakill,Baile na Coille,,52.873889,-7.308056,village
Baile an Fheirtéaraigh,Baile an Fheirtéaraigh,Kerry,52.1663478,-10.406082,village
Killenaule,Cill Náile,Tipperary,52.5682093,-7.6731438,town
Kenmare,Neidín,Kerry,51.8791008,-9.583952,town
Gaoth Dobhair,Gaoth Dobhair,Donegal,55.0501027,-8.2322026,village
Ballinascarty,Béal na Scairte,Cork,51.6703961,-8.8574829,village
Kilcoole,Cill Chomhghaill,,53.1054131,-6.0644448,village
Rathdangan,,,52.9198223,-6.545544,village
Timoleague,Tigh Molaige,,51.6440924,-8.7654642,village
Johnstown Bridge,Baile Sheáin,,53.4020279,-6.854147,village
Kinsale,Cionn tSáile,,51.705737,-8.5229823,town
Croghan,Cruachán,Offaly,53.3407532,-7.2792589,village
Castletownroche,Baile Chaisleáin an Róistigh,,52.1727472,-8.4635069,village
Kilfinny,,Limerick,52.5129207,-8.8048216,hamlet
Tipperary,Tiobraid Árann,Tipperary,52.4734839,-8.1614446,town
Callan,Callain,,52.5445861,-7.3900941,town
Milltown Malbay,Sráid na Cathrach,,52.8556213,-9.4005986,village
Keenagh,Caonach,,53.6225489,-7.8147197,village
Blackwater,An Abhainn Dubh,Wexford,52.4468932,-6.3475001,village
Ringsend,An Rinn,Dublin,53.341944,-6.226389,suburb
Walkinstown,Bhaile Bhailcín,Dublin,53.3216133,-6.3301177,suburb
Kilflynn,,,52.3501687,-9.624856,village
Sandyford,Áth an Ghainimh,Dublin,53.2698337,-6.2245713,village
Canningstown,,,53.9802674,-7.046788,hamlet
Glin,An Gleann,,52.5717329,-9.2856555,village
Palmerstown,,Dublin,53.3559822,-6.3704956,village
Monkstown,Baile an Mhanaigh,,51.8483695,-8.3333967,village
Rosemount,,,53.4303549,-7.6405844,village
Poulnamucky,,Tipperary,52.401111,-7.819444,hamlet
Clonbulloge,Cluain Bolg,,53.2621591,-7.087043,village
Cill Mhuirbhigh,Cill Mhuirbhigh,Galway,53.1329346,-9.7577678,hamlet
Castlelyons,Caisleán Ó Liatháin,,52.0889073,-8.2338663,village
Carraig Airt,Carraig Airt,,55.1771751,-7.7941392,village
Boolavogue,Baile Mhaodhóg,Wexford,52.5541798,-6.4182625,village
Ballindine,Baile an Daighin,Mayo,53.669328,-8.9570134,village
Mountmellick,Móinteach Mílic,Laois,53.1175082,-7.3251863,town
Foxford,Béal Easa,,53.983333,-9.116667,town
Mullagh,An Mullach,,53.811536,-6.9485592,village
Larah,,Cavan,53.993418,-7.2157882,hamlet
Herbertstown,Baile Hiobaird,Limerick,52.5181353,-8.4686868,village
Clogherhead,Ceann Chlochair,,53.7917202,-6.2390693,village
Kilcolgan,Cill Cholgáin,,53.2079031,-8.8672488,village
Glynn,An Gleann,Carlow,52.5031587,-6.9062968,village
Mayo Abbey,,,53.7619629,-9.1208355,village
Clarinbridge,Droichead an Chláirín,,53.2277017,-8.8803111,village
Ardmore,Aird Mhór,Waterford,51.9508055,-7.7255148,village
Nenagh,An tAonach,Tipperary,52.861944,-8.196667,town
Cill Rónáin,Cill Rónáin,,53.1202153,-9.6694516,village
Lusk,Lusca,,53.5255827,-6.1658125,town
Mogeely,Maigh Dhíle,Cork,51.9315263,-8.0560988,village
Glenmore,An Gleann Mor,Kilkenny,52.3539819,-7.0273288,hamlet
Kildalkey,Cill Dealga,,53.5712056,-6.9054866,village
Ardnacrusha,,,52.7083783,-8.6138201,hamlet
Castlepollard,Baile na gCros,Westmeath,53.6796939,-7.2981856,town
Killashee,Cill na Sí,,53.6808772,-7.8803461,village
Stonehall,,Limerick,52.6087302,-8.8682773,hamlet
Tullyvin,Tulaigh Bhinn,,54.0510093,-7.1453451,hamlet
Lemybrien,,Waterford,52.1680199,-7.5207316,hamlet
Málainn Mhóir,Málainn Mhóir,Glencolumbcille;Donegal;Ireland,54.6949999,-8.7736111,village
Carrick-on-Suir,Carraig na Siúire,,52.349167,-7.413056,town
Churchtown,Baile an Teampail,Cork,52.2711931,-8.7309549,village
Rosenallis,,Laois,53.1358311,-7.4065616,village
Carrigtwohill,Carraig Thuathail,Cork,51.9094617,-8.2611809,town
Loughrea,Baile Locha Riach,,53.1981624,-8.5690594,town
Clonmany,Cluain Maine,,55.263012,-7.4122336,village
Cill Charthaigh,Cill Charthaigh,Donegal,54.632607,-8.5923665,village
Rathwire,Ráth Ghuaire,,53.5082202,-7.1412,village
Smithborough,Na Mullaí,,54.2214063,-7.0977582,village
Cóbh,An Cóbh,Cork,51.8500947,-8.294279,town
Abbeyshrule,,,53.5832082,-7.6565897,village
Fodry,,Clare,52.5767878,-9.8865319,hamlet
Shanaglish,Seaneaglais,Galway,53.0106742,-8.8389224,village
Lisselton,,Kerry,52.4881823,-9.5766445,village
Drumfries,Droim Fraoigh,Donegal,55.1963037,-7.3955721,village
Milltown,Baile an Mhuilinn,,53.2047837,-6.8609259,village
Crosserlough,,,53.8772213,-7.2885052,hamlet
Ballybrittas,,,53.109699,-7.1356042,village
Brookville,,Tipperary,52.4491808,-8.1619147,hamlet
Drimoleague,Drom dhá Liag,Cork,51.6608501,-9.2599704,village
Blackpool,An Linn Dubh,,51.9112651,-8.4736373,suburb
Dowra,An Damhshraith,,54.1902533,-8.0146335,village
Kilreekill,Cill Rícill,Galway,53.2297725,-8.4524113,village
Glencullen,Gleann Cuilinn,,53.2221412,-6.2180851,village
Clogharinka,Cloch an Rince,Kildare,53.3982107,-7.0159083,village
Glennahulla Cross,,Cork,52.2539353,-8.3651029,hamlet
Ballyduff,An Baile Dubh,Waterford,52.1479546,-8.0526022,village
Roundstone,Cloch na Rón,,53.3957105,-9.9202716,town
Duagh,Dubháth,Kerry,52.4141539,-9.3899096,village
Blennerville,Cathair Uí Mhóráin,,52.2566726,-9.7353267,village
Dunkineely,Dún Cionnaola,Donegal,54.6319602,-8.3603542,village
Tinahely,Tigh na hÉille,Wicklow,52.7995433,-6.4635618,town
Beaumont,Beaumont,Dublin,53.3854611,-6.2332518,suburb
Ballycroy,,,54.0249605,-9.82621,village
Finea,Fiodh an Átha,,53.78006,-7.3891762,village
Kilworth,Cill Uird,,52.176389,-8.244167,village
Dunleer,Dún Léire,Louth,53.8316175,-6.3950752,town
Kilkelly,Cill Cheallaigh,,53.8708104,-8.8493255,village
Sixmilebridge,Droíchead Abhann Ó gCearnaigh,Clare,52.741389,-8.774167,village
Killucan,Cill Liúcainne,Westmeath,53.5137326,-7.1427449,village
Ashbourne,Cill Dhéagláin,Meath,53.5116146,-6.3981743,town
Oldtown,,,53.5240077,-6.3151517,village
Tynagh,Tíne,,53.1502226,-8.3743502,village
Carrigallen,Carraig Álainn,,53.9769538,-7.6462461,village
Clonmel,Cluain Meala,,52.355,-7.703889,town
Killinick,Cill Fhionnóg,Wexford,52.2565747,-6.4565561,village
Knockaderry,,Limerick,52.4654972,-8.9627138,hamlet
Riverstown,Baile Roisín,,51.9310713,-8.3914469,suburb
Tallowbridge,,Waterford,52.1020953,-8.0017971,hamlet
Kingscourt,Dún an Rí,,53.9080467,-6.8054428,town
Aghamore,,,53.9013199,-7.9562007,village
Myna,,,53.8431482,-9.5729724,village
Killann,Cill Anna,Wexford,52.5216745,-6.745328,village
Saint Margaret’s,Teampall Mhaighréide,,53.4307198,-6.3007463,hamlet
Rockhill,,Limerick,52.4165252,-8.6991466,hamlet
Ardagh,Ardach,Longford,53.6673656,-7.6939163,village
Charlestown,Baile Chathail,,53.964167,-8.794167,town
Killavullen,Cill an Mhuilinn,,52.1456172,-8.5148547,village
Wicklow,Cill Mhantáin,Wicklow,52.9802376,-6.0414184,town
Ballywilliam,,Wexford,52.4479192,-6.8647066,village
Piltown,Baile an Phoill,,52.3497374,-7.3302765,village
Dunmore,Dún Mór,,53.6190495,-8.7422555,village
Old Connaught,,Dublin,53.2091156,-6.1334673,village
Clogh,An Chloch,,52.8861984,-7.5106581,hamlet
Portsalon,Port an tSalainn,Donegal,55.2088876,-7.6223447,village
Buckode,Bocóid,,54.4259424,-8.2106657,hamlet
Mulranny,,,53.9074074,-9.7701109,village
Leitir Mealláin,Leitir Mealláin,Galway,53.2425888,-9.7299408,village
Brosna,,,52.3119967,-9.2662439,village
Multyfarnham,Muilte Farannáin,,53.6254597,-7.3886901,village
Poll an tSómais,Poll an tSómais,,54.261944,-9.798056,village
Kilmallock,Cill Mocheallóg,Limerick,52.3993029,-8.5744751,town
An Corrán Buí,An Corrán Buí,,54.300278,-9.786389,hamlet
Modelligo,,Waterford,52.1483069,-7.7535514,hamlet
Carrick,An Charraig,,52.2405608,-6.7314607,village
Glangevlin,,,54.1949307,-7.8926673,village
Ballyorgan,,Limerick,52.3158027,-8.4698791,village
Newtown Cunningham,An Baile Nua,,54.9972443,-7.5175289,village
Clonmult,,Cork,51.993611,-8.107222,village
Bruree,Brú Rí,Limerick,52.4243387,-8.6605818,village
Brooklodge,Cill Ruadháin,,51.9312084,-8.3805692,suburb
Termonbarry,Tearmann Bearaigh,,53.7425789,-7.9188223,village
Kinvarra,Cinn Mhara,,53.1389892,-8.9394261,village
Béal an Daingin,Béal an Daingin,,53.3136275,-9.6175411,village
Abington,Mainistir Uaithne,Limerick,52.6357541,-8.4151505,hamlet
Goatenbridge,,,52.276111,-7.871944,village
Skibbereen,An Sciobairín,Cork,51.5478232,-9.2662109,town
Coolboy,,,52.7624456,-6.4620387,village
Dunkerrin,,Offaly,52.9141823,-7.910391,hamlet
Inistioge,Inis Tíog,Kilkenny,52.4883664,-7.0656372,village
Arthurstown,,,52.2419927,-6.9518356,village
Portroe,An Port Rua,,52.8829864,-8.3522192,village
Ballyhaise,Béal Átha hÉis,,54.0470453,-7.3171962,village
Ballymascanlan,Baile Mhic Scanláin,Louth,54.028333,-6.350833,village
Marlfield,,Tipperary,52.3477455,-7.7488855,hamlet
Ballymote,Baile an Mhóta,,54.0885294,-8.5155338,town
Tagoat,Teach Gót,,52.2435457,-6.390351,village
Barry,,,53.5962753,-7.7621416,village
Owning,,Kilkenny,52.3878759,-7.3438403,village
Straffan,Teach Srafáin,,53.3125051,-6.6082372,village
Newcastle,,,52.2725883,-7.8109313,village
Clara,Clóirtheach,Offaly,53.3425,-7.613889,town
Castlerea,An Caisleán Riabhach,,53.7664969,-8.487153,town
Kildangan,Cill Daingin,,53.1049821,-7.0150655,village
Mullinalaghta,,,53.8375431,-7.5170415,village
Rockcorry,Buíochar,,54.1175895,-7.0153826,village
Ballyduff,An Baile Dubh,,52.4555609,-9.6627219,village
Waterford,Port Láirge,,52.2609997,-7.1119081,city
Passage West,An Pasáiste,Cork,51.8711088,-8.3354199,town
Kanturk,Ceann Toirc,Cork,52.1774522,-8.9065541,town
Lislevane,Lios Leamháin,Cork,51.6081568,-8.7552753,village
Ballyfarnan,Béal Átha Fearnáin,,54.0727264,-8.2046836,village
Eadestown,Baile Éide,,53.2025057,-6.5789608,hamlet
Ballynacarrigy,Baile na Carraige,,53.5830319,-7.5383476,village
Shanbally,An Seanbhaile,,51.831942,-8.354282,village
Athea,Áth an tSléibhe,,52.4616631,-9.2890747,village
Balbriggan,Baile Brigín,Dublin,53.609832,-6.1861964,town
Aghamore,,,53.8277976,-8.8246435,village
Peterswell,Tobar Pheadair,,53.1126173,-8.7376768,hamlet
Belgooly,Béal Guala,Cork,51.7374331,-8.4839766,village
New Ross,Ros Mhic Thriúin,,52.3955671,-6.9446066,town
Mullaghmore,An Mullach Mór,,54.4663889,-8.448611,village
Loughlinstown,Baile Uí Lachnáin,,53.2463692,-6.1286546,suburb
Athleague,Áth Liag,,53.567573,-8.2561657,village
Milltown,Baile an Mhuilinn,Kerry,52.1452719,-9.7172394,town
Mount Nugent,,,53.81767,-7.2560698,village
Leenaun,Lionán,,53.5958058,-9.6942245,village
Youghal,Eochaill,Cork,51.9494736,-7.8431892,town
Bilboa,Biolbó,,52.7971344,-7.0452932,hamlet
Streamstown,,,53.4390458,-7.5758735,village
Kilmeadan,,,52.2310498,-7.2399854,village
Oughterard,Uachtar Ard,,53.4284256,-9.3226023,town
Kilmaganny,Cill Mogeanna,,52.4613731,-7.3281208,village
Kesh,An Chéis,,54.0507069,-8.4458673,village
Ballinteer,Baile an tSaoir,Dublin,53.2764266,-6.2528361,suburb
Windy Arbour,Na Glasáin,Dublin,53.3028509,-6.2469717,suburb
Ballingarry,,Tipperary,53.018118,-8.0295509,village
Ballybane,An Baile Bán,Galway,53.2861099,-9.0075049,suburb
Castlebridge,Droichead an Chaisleáin,Wexford,52.3827773,-6.4503235,village
An Fál Mór,An Fál Mór,,54.095833,-10.1,hamlet
Killimor,Cill Íomair,,53.1650604,-8.2887968,village
An Rinn,An Rinn,Waterford,52.048333,-7.585278,village
Cullen,,Tipperary,52.5113609,-8.2747597,hamlet
Limerick Junction,Gabhal Luimnigh,,52.4984189,-8.2054735,hamlet
Castleconnell,Caisleán Uí Chonaill,Limerick,52.7129293,-8.5001796,village
Glasnevin,,Dublin,53.3782873,-6.2662007,suburb
Borris-in-Ossory,Buiríos Mór Osraí,,52.9390951,-7.6314645,village
Ballinderreen,Baile an Doirín,,53.1862518,-8.9089205,village
Stratford,Áth na Sráide,,52.9878821,-6.6734457,village
Ballybay,Béal Átha na Beithe,Monaghan,54.1288793,-6.9029718,town
Ballyagran,,,52.4017549,-8.781955,village
Clonroche,Cluain an Róistigh,,52.4496112,-6.7179575,village
Culdaff,Cúil Dabhcha,,55.2869665,-7.166544,village
Donore,,,53.6923216,-6.4167748,village
Freshford,Achadh Úr,,52.7325985,-7.3980463,village
Doolin,Dúlainn,Clare,53.0163287,-9.3776097,village
Ros an Mhíl,Ros an Mhíl,Galway,53.2734571,-9.5409883,village
Moyvane,Maigh Mheáin,Kerry,52.5014313,-9.3706916,village
Claddagh,An Cladach,Galway,53.2674717,-9.0552822,suburb
Kilbehenny,Coill Bheithne,Limerick,52.2944078,-8.2050849,village
Cootehill,Muinchille,Cavan,54.0725259,-7.0822524,town
Teileann,,Donegal,54.6358785,-8.6422625,village
Swords,Sord,Dublin,53.4594799,-6.219175,town
Tóin an tSeanbhaile,Tóin an tSeanbhaile,,54.013056,-9.961111,village
Drumlish,Droim Lis,,53.8200862,-7.7693182,village
Ballinagh,Béal Átha na nEach,,53.9319227,-7.4078788,village
Laurencetown,An Baile Mór,,53.2365041,-8.1749341,village
Ballinafad,Béal an Átha Fada,,54.0272688,-8.3343456,village
Lahinch,Leacht Uí Chonchubhair,,52.932149,-9.3459078,village
Portumna,Port Omna,Galway,53.0923333,-8.2192922,town
Legan,An Léana Mór,,53.6216091,-7.632065,village
Omeath,Ó Méith,,54.086944,-6.261667,village
Muine Bheag,Muine Bheag,Carlow,52.7018267,-6.9566623,town
New Inn,,Galway,53.3001128,-8.4897855,hamlet
Burren,,,53.9119472,-9.305833,village
Clondalkin,Cluain Dolcáin,Dublin,53.3219624,-6.3942689,town
Listerlin,,Kilkenny,52.4089739,-7.0754396,hamlet
Kilshannig,,Kerry,52.3103027,-10.0147886,hamlet
O'Briensbridge,Droichead Uí Bhriain,Clare,52.7532636,-8.5013883,village
Clonard,Cluain Ioraird,,53.4512563,-7.021757,village
Gaoth Sáile,Gaoth Sáile,,54.1121097,-9.8986315,village
Kilshanchoe,Cill Seanchua,Kildare,53.3845744,-6.8881234,village
Toomevara,Tuaim Uí Mheára,,52.8501208,-8.0358937,village
Bunratty,,,52.696671,-8.8155617,village
Roscommon,Ros Comáin,,53.6312446,-8.19068,town
Ballynoe,An Baile Nua,,52.060307,-8.097583,village
Turlough,Turlach,,53.883334,-9.2166741,village
Inch,An Inis,Wexford,52.7400641,-6.2380157,village
Ratoath,Ráth Tó,Meath,53.5072716,-6.4640687,town
Castletownshend,Baile an Chaisleáin,,51.5278343,-9.1777777,village
Ballyshannon,Béal Átha Seanaidh,,54.501979,-8.1897659,town
Maghera,,Cavan,53.7966716,-7.0301553,village
Menlough,Mionlach,,53.4212893,-8.5732079,hamlet
Ballycullane,,,52.2796739,-6.8393729,village
Aghabullogue,,Cork,51.9448936,-8.8076793,village
Cong,Conga,,53.5407963,-9.2859366,village
Cavan,An Cabhán,,53.9911042,-7.3603119,town
Cill Bhreacáin,Cill Bhreacáin,Galway,53.3562631,-9.6269959,hamlet
Knockcroghery,Cnoc an Chrochaire,,53.5755725,-8.0949464,village
An Leadhb Gharbh,An Leadhb Gharbh,,54.9890715,-8.4981441,village
Dromcollogher,Drom Collachair,Limerick,52.3392885,-8.9088061,town
Cappamore,An Cheapach Mhór,,52.6144391,-8.3355581,village
Clogheen,An Cloichín,,52.2769319,-7.9959442,village
Strokestown,Béal na mBuillí,,53.7766267,-8.1022177,town
Rathmolyon,Ráth Moliain,,53.4881916,-6.8037584,village
Connonagh,An Chananach,,51.5961202,-9.0925043,hamlet
Carrigaline,Carraig Uí Leighin,Cork,51.8149556,-8.3922675,town
Borrisoleigh,Buiríos Ó Luigheach,Tipperary,52.7520934,-7.9560089,village
Saggart,Teach Sagard,,53.280278,-6.444448,village
Carrignavar,Carraig Na Bhfear,,51.9877466,-8.4775974,village
Rathnure,,Wexford,52.4998307,-6.7685931,village
Fethard,Fiodh Ard,,52.1915688,-6.8398404,village
An Clochán,An Clochán,,52.2349101,-10.1822504,village
Kilmore,An Chill Mhór,,52.2044063,-6.548882,village
Glassan,Glasán,,53.4697693,-7.8637638,village
Garrykennedy,,Tipperary,52.9047038,-8.3473609,village
Meanus,,Limerick,52.511572,-8.6084534,village
Eskerbreague,,Offaly,53.3390919,-7.8027975,hamlet
Mountcharles,Moin Séarlas,Donegal,54.646389,-8.195556,village
Kilmacthomas,Coill Mhic Thomáisín,,52.206047,-7.4246616,town
Moynalty,Maigh nEalta,,53.7890118,-6.886633,village
Mornington,,Meath,53.7213844,-6.2825549,village
Grenagh,,Cork,52.0122271,-8.6099993,village
Newtownmountkennedy,Baile an Chinnéidigh,,53.0895152,-6.1110122,village
Kilteely,Cill Tíle,Limerick,52.5221953,-8.3996947,village
Ballycastle,Baile an Chaisil,,54.2808401,-9.3737759,village
Blanchardstown,Baile Bhlainséir,Dublin,53.3844588,-6.3829415,town
Béal na Bláth,Béal na Bláth,Cork,51.8217004,-8.8560227,hamlet
Letterfrack,Leitir Fraic,,53.553524,-9.9483002,village
Ardfinnan,Ard Fhíonáin,,52.310998,-7.8784418,village
Portarlington,Cúil an tSúdaire,Laois,53.162222,-7.191111,town
Collon,Collann,,53.7776528,-6.4863251,village
Ballynacarrow,Baile na Cora,,54.1337743,-8.5613675,village
Ballintober,Baile an Tobair,,53.7178827,-8.4093972,village
Roundwood,An Tóchar,,53.0634659,-6.2247419,village
An Baile Thoir,An Baile Thoir,Donegal,55.2578534,-8.2077369,hamlet
Ballyheelan,,,53.8365438,-7.3516667,village
Gorey,Guaire,,52.676135,-6.292752,town
Courtown,Baile na Cúirte,Wexford,52.644821,-6.227824,village
Ballymoe,Béal Átha Mó,,53.6951171,-8.460283,village
Bohola,Both Chomhla,,53.9017656,-9.0527021,village
Fiddown,Fiodh Dúin,,52.3316944,-7.3152624,village
Newcastle,An Caisleán Nua,,53.2999844,-6.5013576,village
Crookedwood,Tigh Munna,,53.6028545,-7.2928292,village
Ballintober,,,53.7443746,-9.2989057,village
Thomastown,,Tipperary,52.4932417,-8.0255885,hamlet
Redcastle,Carraig Mhic Uidhilín,Donegal,55.1598794,-7.133807,hamlet
Kilberry,,Meath,53.7057859,-6.6850429,hamlet
Ardara,Ard an Rátha,Donegal,54.7636255,-8.4105918,town
Drangan,Drongán,,52.5162906,-7.5833527,village
Rathgar,Ráth Garbh,,53.3118481,-6.2744692,suburb
Athlone,Baile Átha Luain,,53.4228434,-7.9425897,town
Saltmills,,Wexford,52.225966,-6.8330602,village
Templetouhy,Teampall Tuaithe,,52.7884413,-7.7219474,village
Longford,An Longfort,,53.7278,-7.7963816,town
Kilnafrehan,,,52.1313768,-7.6130406,hamlet
Kilgobnet,,,52.1199899,-7.6354645,hamlet
