name,name_ga,county,lat,lon,type
Castleknock,Caisleán Cnucha,Dublin,53.3729581,-6.3624744,village
Old Kilcullen,,Kildare,53.1061865,-6.7635281,hamlet
Aughagower,,,53.7638445,-9.4658344,village
Lauragh,An Láithreach,Kerry,51.7671858,-9.7699786,village
Swinford,Béal Átha na Muice,,53.9435164,-8.9498117,town
Quilty,Coillte,Clare,52.816831,-9.4563636,village
Newtown,,Waterford,52.221667,-7.388889,hamlet
Bennettsbridge,Droichead Binéid,,52.5916772,-7.1835352,village
Knockraha,Cnoc Rátha,,51.9591306,-8.339844,village
Ninemilehouse,,,52.4613977,-7.4634364,hamlet
Rathkenny,Ráth Cheannaigh,,53.7443815,-6.6497006,hamlet
Ballinagarbry,,Westmeath,53.4097038,-7.7316936,hamlet
Portahack,,Donegal,55.300774,-7.1607061,village
Newbridge,Droichead Nua,,53.1801492,-6.7981931,town
Belcarra,Baile na Cora,,53.8017945,-9.2161763,village
Eanach Mheáin,Eanach Mheáin,Galway,53.3158758,-9.6420411,hamlet
Aclare,Áth an Chláir,,54.0364394,-8.8985892,village
Carnew,Carn an Bhua,,52.7095613,-6.4962699,village
Collooney,Cúil Mhuine,,54.1836971,-8.4924684,town
Tuamgraney,Tuaim Gréine,Clare,52.8982531,-8.5408566,village
Kilmessan,Cill Mheasáin,,53.5607425,-6.6620361,village
Tralee,Trá Lí,Kerry,52.2692116,-9.7057047,town
Caherdaniel,Cathair Dónall,Kerry,51.7696536,-10.0994464,village
Coolderry,,Offaly,53.0126192,-7.8395533,village
Lissycasey,,Clare,52.7474391,-9.1501256,village
Annacurragh,Áth na Cora,,52.841561,-6.3569105,hamlet
Killadysert,Cill an Dísirt,Clare,52.6738875,-9.1078412,village
Coolgreany,Cúil Ghréine,,52.7641067,-6.2370666,village
Kilmainhamwood,Cill Mhaighneann,Meath,53.84947,-6.8063229,village
Fennagh,Fionnmhach,Carlow,52.7118608,-6.8472036,village
Blackrock,An Charraig Dhubh,Dublin,53.3018639,-6.1788342,town
An Charraig,An Charraig,Donegal,54.6575,-8.631667,village
